idSelectedProcedures,HCPCSCode,HCPCSName,ProcedureGroup,Specialties
50,17106,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
51,17107,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
52,17110,"Destruct b9 lesion 1-14","Removal of Skin Lesions","Dermatology"
53,17111,"Destruct lesion 15 or more","Removal of Skin Lesions","Dermatology"
54,17260,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
55,17261,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
56,17262,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
57,17263,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
58,17264,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
59,17270,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
60,17271,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
61,17272,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
62,17273,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
63,17274,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
64,17280,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
65,17281,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
66,17282,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
67,17283,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
68,17284,"Destruction of skin lesions","Removal of Skin Lesions","Dermatology"
69,11100,"Biopsy skin lesion","Skin Biopsy","Dermatology"
70,11101,"Biopsy skin add-on","Skin Biopsy","Dermatology"
71,93015,"Cardiovascular stress test","Stress Test","Cardiology"
72,93016,"Cardiovascular stress test","Stress Test","Cardiology"
73,93017,"Cardiovascular stress test","Stress Test","Cardiology"
74,93018,"Cardiovascular stress test","Stress Test","Cardiology"
75,43235,"Uppr gi endoscopy diagnosis","Upper GI Endoscopy","Gastroenterology"
76,43238,"Uppr gi endoscopy w/us fn bx","Upper GI Endoscopy","Gastroenterology"
77,43239,"Upper gi endoscopy biopsy","Upper GI Endoscopy","Gastroenterology"
78,43242,"Uppr gi endoscopy w/us fn bx","Upper GI Endoscopy","Gastroenterology"
79,43244,"Upper GI endoscopy/ligation","Upper GI Endoscopy","Gastroenterology"
80,43248,"Uppr gi endoscopy/guide wire","Upper GI Endoscopy","Gastroenterology"
81,43250,"Upper GI endoscopy/tumor","Upper GI Endoscopy","Gastroenterology"
82,81000,"Urinalysis nonauto w/scope",Urinalysis,"Primary Care"
83,81001,"Urinalysis auto w/scope",Urinalysis,"Primary Care"
84,81002,"Urinalysis nonauto w/o scope",Urinalysis,"Primary Care"
85,81003,"Urinalysis auto w/o scope",Urinalysis,"Primary Care"
86,81005,Urinalysis,Urinalysis,"Primary Care"
87,81050,"Urinalysis volume measure",Urinalysis,"Primary Care"
